payload_blocks,input_bytes,input_mib,round,execution_order,method,client_completion_ms,combined_endpoint_process_cpu_ms,combined_endpoint_process_cpu_ms_per_mib,reconstructed_throughput_mib_s,encoded_stream_payload_bytes,stream_payload_multiplier,client_ttfb_ms,reconstruction_ok,congestion_control_algorithm,tls_exporter_live,tls_exporter_outputs_match
64,65536,0.0625,1,1,raw-quic-stream,10.063,9.394,150.304,6.210872,65536,1.0,6.724,True,reno,not-applicable,not-applicable
64,65536,0.0625,1,2,redulink-binary-quic-stream,9.266,9.098,145.568,6.74509,12682,5.167639,7.749,True,reno,True,True
64,65536,0.0625,2,1,redulink-binary-quic-stream,9.364,9.116,145.856,6.674498,12682,5.167639,8.134,True,reno,True,True
64,65536,0.0625,2,2,raw-quic-stream,10.013,9.332,149.312,6.241886,65536,1.0,6.44,True,reno,not-applicable,not-applicable
64,65536,0.0625,3,1,raw-quic-stream,9.769,8.98,143.68,6.397789,65536,1.0,6.422,True,reno,not-applicable,not-applicable
64,65536,0.0625,3,2,redulink-binary-quic-stream,8.713,8.507,136.112,7.173189,12682,5.167639,7.527,True,reno,True,True
64,65536,0.0625,4,1,redulink-binary-quic-stream,8.778,8.592,137.472,7.120073,12682,5.167639,7.539,True,reno,True,True
64,65536,0.0625,4,2,raw-quic-stream,9.641,8.861,141.776,6.48273,65536,1.0,6.347,True,reno,not-applicable,not-applicable
64,65536,0.0625,5,1,raw-quic-stream,9.59,8.858,141.728,6.517205,65536,1.0,6.315,True,reno,not-applicable,not-applicable
64,65536,0.0625,5,2,redulink-binary-quic-stream,8.952,8.757,140.112,6.98168,12682,5.167639,7.721,True,reno,True,True
64,65536,0.0625,6,1,redulink-binary-quic-stream,9.036,8.852,141.632,6.916777,12682,5.167639,7.693,True,reno,True,True
64,65536,0.0625,6,2,raw-quic-stream,9.675,8.932,142.912,6.459948,65536,1.0,6.349,True,reno,not-applicable,not-applicable
64,65536,0.0625,7,1,raw-quic-stream,9.632,9.02,144.32,6.488787,65536,1.0,6.335,True,reno,not-applicable,not-applicable
