label,input_bytes,full_frames,ref_frames,model_multiplier,repriced_multiplier,oh_full_bytes,oh_ref_bytes,wire_scope_bytes,wire_fixed_overhead_bytes,zstd_patch_bytes,zstd_patch_multiplier,zstd_version,zstd_command,gzip_multiplier,reconstruction_ok
object-click-8.1.7-to-8.1.8,947826,156,176,1.920772,1.822949,108,108,29,79,14250,66.514105,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,2.839698,True
object-redis-7.2.4-to-7.2.5,15467095,366,4360,9.313342,7.64619,108,108,29,79,8590,1800.593132,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,4.589979,True
object-nginx-1.25.3-to-1.25.4,7357392,409,1684,4.332445,3.954422,108,108,29,79,7337,1002.779338,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,6.07015,True
redis-layered-public-positive,524288,5,123,21.368112,15.283582,108,108,29,79,292,1795.506849,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,4.238931,True
pypi-rich-13.7.0-to-13.7.1,947654,18,259,12.046245,9.489446,108,108,29,79,1601,591.913804,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,4.416444,True
pypi-jinja2-3.1.3-to-3.1.4,491214,120,17,1.093667,1.06666,108,108,29,79,2877,170.738269,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,4.024464,True
pypi-click-8.1.6-to-8.1.7,353767,10,85,10.925816,8.915724,108,108,29,79,560,631.726786,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,3.972812,True
pypi-werkzeug-3.0.1-to-3.0.2,762091,68,155,3.022491,2.826412,108,108,29,79,1893,402.58373,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,3.951996,True
pypi-urllib3-2.1.0-to-2.2.0,391321,60,57,1.860129,1.780796,108,108,29,79,13262,29.506937,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,3.798532,True
pypi-packaging-23.2-to-24.0,174172,32,22,1.527168,1.470935,108,108,29,79,2141,81.350771,"*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***",zstd -3 --patch-from OLD NEW -o PATCH -f -q,3.770773,True
