family,artifact,mode,chunker,method,warm_bytes,aligned_changed_bytes,input_bytes,wire_bytes,saving_rate,effective_multiplier,chunks,full_frames,ref_frames,reconstruction_ok,comparable,wall_ms,throughput_mib_s_local,runner_peak_kib,cost_scope,dictionary_entries,method_parameters,notes
journal-fixture,scripted-disk-snapshot,single-object,none,raw,,,1048576,1048576,0.000000,1.000000,0,0,0,True,True,,,,,,,
journal-fixture,scripted-disk-snapshot,single-object,none,gzip-6,,,1048576,987617,0.058135,1.061723,0,0,0,True,True,25.147,39.765,293344.0,compress_only,,,
journal-fixture,scripted-disk-snapshot,single-object,none,zstd-3,,,1048576,987482,0.058264,1.061868,0,0,0,True,True,24.313,41.131,293380.0,compress_only,,,
journal-fixture,scripted-disk-snapshot,warm-update-like,fixed,fixed-block-reuse,1048576,28487,1048576,32796,0.968723,31.972680,256,7,249,True,True,6.058,165.081,293380.0,fixed_block_scan,256,block_size=4096; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
journal-fixture,scripted-disk-snapshot,cold-intra-artifact,fixed,redulink,,,1048576,997488,0.048721,1.051217,256,242,14,True,True,3.117,320.853,294368.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=4096; ref_overhead=32; full_overhead=24; compression=none,
journal-fixture,scripted-disk-snapshot,warm-update-like,fixed,redulink,1048576,28487,1048576,36808,0.964897,28.487720,256,7,249,True,True,3.316,301.552,294544.0,redulink_encode_decode,256,chunker=fixed; target_chunk_size=4096; ref_overhead=32; full_overhead=24; compression=none,
journal-fixture,scripted-disk-snapshot,cold-intra-artifact,cdc,redulink,,,1048576,1052344,0.000000,0.996419,157,157,0,True,True,177.878,5.622,294544.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=4096; ref_overhead=32; full_overhead=24; compression=none,
journal-fixture,scripted-disk-snapshot,warm-update-like,cdc,redulink,1048576,28487,1048576,97878,0.906656,10.713092,157,13,144,True,True,499.142,2.003,294544.0,redulink_encode_decode,156,chunker=cdc; target_chunk_size=4096; ref_overhead=32; full_overhead=24; compression=none,
journal-fixture,scripted-disk-snapshot,warm-update-like,cdc,gzip-then-redulink,983549,983546,987617,991745,0.000000,0.995838,172,172,0,True,True,470.360,2.002,297252.0,redulink_only_after_precompression,160,chunker=cdc; target_chunk_size=4096; compression=gzip-before-redulink,ReduLink applied after gzip compression
journal-fixture,scripted-disk-snapshot,warm-update-like,cdc,redulink-then-gzip,1048576,28487,1048576,86504,0.917503,12.121705,157,13,144,True,False,505.657,1.978,297252.0,redulink_encode_decode_plus_gzip_frame_stream,156,chunker=cdc; target_chunk_size=4096; compression=redulink-frame-stream-then-gzip,gzip applied to modeled ReduLink frame stream
journal-fixture,scripted-disk-snapshot,warm-update-like,cdc,zstd-then-redulink,983327,807976,987482,272928,0.723612,3.618104,157,43,114,True,True,474.862,1.983,300200.0,redulink_only_after_precompression,155,chunker=cdc; target_chunk_size=4096; compression=zstd-before-redulink,ReduLink applied after zstd compression
journal-fixture,scripted-oci-layer,single-object,none,raw,,,296960,296960,0.000000,1.000000,0,0,0,True,True,,,,,,,
journal-fixture,scripted-oci-layer,single-object,none,gzip-6,,,296960,199828,0.327088,1.486078,0,0,0,True,True,4.528,62.551,300200.0,compress_only,,,
journal-fixture,scripted-oci-layer,single-object,none,zstd-3,,,296960,198476,0.331641,1.496201,0,0,0,True,True,16.716,16.942,300200.0,compress_only,,,
journal-fixture,scripted-oci-layer,warm-update-like,fixed,fixed-block-reuse,296960,10256,296960,27800,0.906385,10.682014,72,6,66,True,True,4.595,61.636,300200.0,fixed_block_scan,72,block_size=4096; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
journal-fixture,scripted-oci-layer,cold-intra-artifact,fixed,redulink,,,296960,298712,0.000000,0.994135,73,73,0,True,True,0.552,513.001,300200.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=4096; ref_overhead=32; full_overhead=24; compression=none,
journal-fixture,scripted-oci-layer,warm-update-like,fixed,redulink,296960,10256,296960,26864,0.909537,11.054199,73,6,67,True,True,0.752,376.532,300200.0,redulink_encode_decode,73,chunker=fixed; target_chunk_size=4096; ref_overhead=32; full_overhead=24; compression=none,
journal-fixture,scripted-oci-layer,cold-intra-artifact,cdc,redulink,,,296960,298040,0.000000,0.996376,45,45,0,True,True,46.373,6.107,300200.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=4096; ref_overhead=32; full_overhead=24; compression=none,
journal-fixture,scripted-oci-layer,warm-update-like,cdc,redulink,296960,10256,296960,64612,0.782422,4.596050,45,9,36,True,True,140.818,2.011,300200.0,redulink_encode_decode,44,chunker=cdc; target_chunk_size=4096; ref_overhead=32; full_overhead=24; compression=none,
