payload,payload_note,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,repair_full_frames,emulation,rate_mbps,rtt_ms,loss_percent
demo,constructed byte-stable demo,1,raw-quic-stream,98304,98304,98304,776.429,1.012883,1.012883,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,1,redulink-binary-quic-stream,98304,30817,98304,1349.356,0.58282,0.182706,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,2,raw-quic-stream,98304,98304,98304,1009.673,0.778898,0.778898,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,2,redulink-binary-quic-stream,98304,30818,98304,1370.967,0.573633,0.179832,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,3,raw-quic-stream,98304,98304,98304,705.315,1.115008,1.115008,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,3,redulink-binary-quic-stream,98304,30818,98304,1325.39,0.593359,0.186016,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,4,raw-quic-stream,98304,98304,98304,940.062,0.836575,0.836575,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,4,redulink-binary-quic-stream,98304,30818,98304,1376.411,0.571364,0.179121,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,5,raw-quic-stream,98304,98304,98304,883.622,0.89001,0.89001,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,5,redulink-binary-quic-stream,98304,30818,98304,1348.037,0.583391,0.182891,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,6,raw-quic-stream,98304,98304,98304,693.985,1.133212,1.133212,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,6,redulink-binary-quic-stream,98304,30818,98304,1313.958,0.598521,0.187635,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,7,raw-quic-stream,98304,98304,98304,851.988,0.923055,0.923055,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,7,redulink-binary-quic-stream,98304,30818,98304,1345.945,0.584297,0.183175,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,8,raw-quic-stream,98304,98304,98304,1061.729,0.740709,0.740709,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,8,redulink-binary-quic-stream,98304,30818,98304,1407.27,0.558835,0.175193,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,9,raw-quic-stream,98304,98304,98304,701.952,1.12035,1.12035,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,9,redulink-binary-quic-stream,98304,30818,98304,1275.762,0.616441,0.193252,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,10,raw-quic-stream,98304,98304,98304,869.429,0.904538,0.904538,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,10,redulink-binary-quic-stream,98304,30817,98304,1352.073,0.581649,0.182339,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,11,raw-quic-stream,98304,98304,98304,778.291,1.01046,1.01046,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,11,redulink-binary-quic-stream,98304,30818,98304,1360.151,0.578195,0.181262,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,12,raw-quic-stream,98304,98304,98304,832.553,0.944603,0.944603,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,12,redulink-binary-quic-stream,98304,30818,98304,1351.131,0.582055,0.182472,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,13,raw-quic-stream,98304,98304,98304,861.328,0.913046,0.913046,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,13,redulink-binary-quic-stream,98304,30818,98304,1353.853,0.580884,0.182105,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,14,raw-quic-stream,98304,98304,98304,986.335,0.797327,0.797327,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,14,redulink-binary-quic-stream,98304,30818,98304,1369.779,0.574131,0.179988,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,15,raw-quic-stream,98304,98304,98304,960.078,0.819133,0.819133,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,15,redulink-binary-quic-stream,98304,30818,98304,1357.6,0.579281,0.181603,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,16,raw-quic-stream,98304,98304,98304,693.369,1.134219,1.134219,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,16,redulink-binary-quic-stream,98304,30818,98304,1288.907,0.610154,0.191281,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,17,raw-quic-stream,98304,98304,98304,987.573,0.796328,0.796328,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,17,redulink-binary-quic-stream,98304,30818,98304,1427.633,0.550864,0.172694,True,13,13,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
demo,constructed byte-stable demo,18,raw-quic-stream,98304,98304,98304,824.217,0.954156,0.954156,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
