payload,payload_note,round,execution_order,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,client_completion_ms,client_ttfb_ms,server_completion_ms,combined_endpoint_process_cpu_ms,reconstructed_goodput_mbps,encoded_goodput_mbps,qdisc_bytes,qdisc_packets,qdisc_drops,qdisc_overlimits,qdisc_requeues,reconstruction_ok,semantic_misses,repair_full_frames,measurement_control_stream_bytes_excluded,congestion_control_algorithm,emulation,rate_mbps,rtt_ms,loss_percent
demo,constructed deterministic warm-update control,1,1,raw-quic-stream,98304,98304,98304,245.963,68.349,184.859,44.015,3.197359,3.197359,117138,185,0,0,0,True,0,0,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
demo,constructed deterministic warm-update control,1,2,redulink-binary-quic-stream,98304,30851,98304,140.167,64.08,81.908,26.31,5.610679,1.760814,41574,70,0,0,0,True,13,13,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
demo,constructed deterministic warm-update control,2,1,redulink-binary-quic-stream,98304,30851,98304,139.84,63.643,82.141,28.382,5.623799,1.764931,41572,70,0,0,0,True,13,13,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
demo,constructed deterministic warm-update control,2,2,raw-quic-stream,98304,98304,98304,238.413,62.06,183.816,40.792,3.298612,3.298612,117290,187,0,0,0,True,0,0,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
demo,constructed deterministic warm-update control,3,1,raw-quic-stream,98304,98304,98304,239.154,62.106,184.404,43.42,3.288392,3.288392,117212,186,0,0,0,True,0,0,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
demo,constructed deterministic warm-update control,3,2,redulink-binary-quic-stream,98304,30851,98304,140.17,64.0,82.167,27.517,5.610559,1.760776,41572,70,0,0,0,True,13,13,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
demo,constructed deterministic warm-update control,4,1,redulink-binary-quic-stream,98304,30851,98304,140.242,63.955,82.316,27.658,5.607678,1.759872,41572,70,0,0,0,True,13,13,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
demo,constructed deterministic warm-update control,4,2,raw-quic-stream,98304,98304,98304,238.811,62.132,183.995,44.952,3.293115,3.293115,117213,186,0,0,0,True,0,0,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
demo,constructed deterministic warm-update control,5,1,raw-quic-stream,98304,98304,98304,239.059,62.077,184.216,43.46,3.289698,3.289698,117290,187,0,0,0,True,0,0,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
demo,constructed deterministic warm-update control,5,2,redulink-binary-quic-stream,98304,30851,98304,140.194,64.044,82.055,27.985,5.609598,1.760475,41573,70,0,0,0,True,13,13,13,reno,Linux tc/netem qdisc on loopback in an isolated network namespace,5.0,20.0,0.0
