payload,rate_mbps,rtt_ms,loss_percent,paired_rounds,all_reconstructed,congestion_control_algorithm,ratio_definition,client_completion_ratio_mean,client_completion_ratio_sd,client_completion_ratio_ci95_low,client_completion_ratio_ci95_high,client_ttfb_ratio_mean,client_ttfb_ratio_sd,client_ttfb_ratio_ci95_low,client_ttfb_ratio_ci95_high,server_completion_ratio_mean,server_completion_ratio_sd,server_completion_ratio_ci95_low,server_completion_ratio_ci95_high,process_cpu_ratio_mean,process_cpu_ratio_sd,process_cpu_ratio_ci95_low,process_cpu_ratio_ci95_high,stream_bytes_ratio_mean,stream_bytes_ratio_sd,stream_bytes_ratio_ci95_low,stream_bytes_ratio_ci95_high,qdisc_bytes_ratio_mean,qdisc_bytes_ratio_sd,qdisc_bytes_ratio_ci95_low,qdisc_bytes_ratio_ci95_high,qdisc_packets_ratio_mean,qdisc_packets_ratio_sd,qdisc_packets_ratio_ci95_low,qdisc_packets_ratio_ci95_high
demo,5.0,20.0,0.0,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.582598,0.004697,0.580465,0.584451,1.027538,0.02144,1.017441,1.033363,0.441465,0.005122,0.439224,0.443506,0.682288,0.048667,0.662621,0.703282,0.313833,0.0,0.313833,0.313833,0.354428,0.000353,0.35428,0.354577,0.374181,0.003117,0.372885,0.375511
demo,5.0,20.0,0.5,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.634068,0.178841,0.571983,0.723706,1.109386,0.507164,0.959847,1.355468,0.481814,0.117084,0.441578,0.537444,0.691277,0.037773,0.674033,0.706897,0.313833,0.0,0.313833,0.313833,0.359715,0.024582,0.354033,0.370872,0.375184,0.0127,0.371035,0.381703
demo,5.0,80.0,0.0,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.800543,0.004522,0.798641,0.802506,1.00673,0.004838,1.004711,1.008862,0.670506,0.006747,0.667632,0.67333,0.714657,0.02235,0.705504,0.724439,0.313833,0.0,0.313833,0.313833,0.355252,0.000626,0.354992,0.355509,0.380846,0.005371,0.378616,0.383074
demo,5.0,80.0,0.5,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.817748,0.190961,0.735985,0.898971,0.982217,0.120297,0.9272,1.011091,0.722593,0.257489,0.620724,0.838748,0.680927,0.066219,0.652524,0.708419,0.313833,0.0,0.313833,0.313833,0.355534,0.001506,0.354878,0.356147,0.383689,0.011976,0.378504,0.388559
demo,20.0,20.0,0.0,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.849191,0.010306,0.845142,0.853775,1.081256,0.014604,1.075613,1.088074,0.697491,0.011969,0.692932,0.703092,0.79259,0.057074,0.771217,0.819325,0.313833,0.0,0.313833,0.313833,0.357791,0.000398,0.357672,0.357989,0.418211,0.005169,0.416672,0.420823
demo,20.0,20.0,0.5,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.802364,0.242512,0.695916,0.907186,1.118181,0.429443,0.948748,1.328259,0.631027,0.213656,0.540659,0.724485,0.807158,0.062743,0.778872,0.831698,0.313833,0.0,0.313833,0.313833,0.357041,0.002615,0.35587,0.358138,0.409649,0.028436,0.397115,0.421856
demo,20.0,80.0,0.0,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.847874,0.005984,0.845227,0.850221,1.023738,0.004859,1.021683,1.025784,0.729932,0.010715,0.725132,0.734081,0.806206,0.032779,0.792299,0.820657,0.313833,0.0,0.313833,0.313833,0.355353,0.000402,0.355193,0.355535,0.387861,0.00452,0.386093,0.389905
demo,20.0,80.0,0.5,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.883544,0.241481,0.797325,1.001378,1.084634,0.265446,1.024129,1.204444,0.7695,0.242807,0.674129,0.87999,0.805599,0.058609,0.780759,0.830763,0.313833,0.0,0.313833,0.313833,0.354729,0.001524,0.354038,0.355331,0.381388,0.01569,0.374365,0.387625
redis,5.0,20.0,0.0,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.341012,0.000744,0.340691,0.341325,1.222965,0.006979,1.21996,1.225971,0.284989,0.000598,0.284733,0.285238,0.528487,0.008655,0.524752,0.532121,0.266331,0.0,0.266331,0.266331,0.273656,0.000306,0.273528,0.273789,0.271628,0.002551,0.270563,0.272737
redis,5.0,20.0,0.5,20,True,reno,paired ReduLink value divided by paired raw-QUIC value,0.347824,0.031439,0.336293,0.363123,1.219888,0.011521,1.214587,1.224419,0.293967,0.032938,0.28187,0.309906,0.532491,0.012716,0.527819,0.538604,0.266331,0.0,0.266331,0.266331,0.27374,0.000621,0.273484,0.274012,0.272382,0.00496,0.270352,0.274509
