label,release_pair,chunk_size_bytes,dictionary_budget_bytes,dictionary_budget_chunks,input_bytes,wire_bytes,multiplier,full_frames,ref_frames,reconstruction_ok,wire_serialization_ok,object_header_serialization_ok,authentication_key_provenance
click,click-8.1.7-to-8.1.8,512,67108864,131072,947826,675421,1.403311,911,1009,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
click,click-8.1.7-to-8.1.8,1024,67108864,65536,947826,579757,1.634868,483,528,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
click,click-8.1.7-to-8.1.8,2048,67108864,32768,947826,538013,1.761716,265,291,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
click,click-8.1.7-to-8.1.8,4096,67108864,16384,947826,523621,1.810137,156,176,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
click,click-8.1.7-to-8.1.8,8192,67108864,8192,947826,536101,1.767999,106,118,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
click,click-8.1.7-to-8.1.8,16384,67108864,4096,947826,571349,1.658927,82,91,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
redis,redis-7.2.4-to-7.2.5,512,67108864,131072,15467095,4979210,3.106335,2770,28268,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
redis,redis-7.2.4-to-7.2.5,1024,67108864,65536,15467095,3292698,4.697393,1396,14529,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
redis,redis-7.2.4-to-7.2.5,2048,67108864,32768,15467095,2458458,6.291381,707,7678,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
redis,redis-7.2.4-to-7.2.5,4096,67108864,16384,15467095,2067082,7.482574,366,4360,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
redis,redis-7.2.4-to-7.2.5,8192,67108864,8192,15467095,1919002,8.059968,195,2770,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
redis,redis-7.2.4-to-7.2.5,16384,67108864,4096,15467095,1886746,8.197762,109,2056,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
nginx,nginx-1.25.3-to-1.25.4,512,67108864,131072,7357392,3222500,2.283132,3056,11562,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
nginx,nginx-1.25.3-to-1.25.4,1024,67108864,65536,7357392,2427204,3.031221,1546,5898,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
nginx,nginx-1.25.3-to-1.25.4,2048,67108864,32768,7357392,2044152,3.599239,790,3070,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
nginx,nginx-1.25.3-to-1.25.4,4096,67108864,16384,7357392,1876968,3.919828,409,1684,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
nginx,nginx-1.25.3-to-1.25.4,8192,67108864,8192,7357392,1832888,4.014098,221,1003,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
nginx,nginx-1.25.3-to-1.25.4,16384,67108864,4096,7357392,1903430,3.865334,126,672,True,True,True,"public deterministic artifact test key; supports serialization and exactness, not key secrecy"
