family,artifact,mode,chunker,method,warm_bytes,aligned_changed_bytes,input_bytes,wire_bytes,saving_rate,effective_multiplier,chunks,full_frames,ref_frames,reconstruction_ok,comparable,wall_ms,throughput_mib_s_local,runner_peak_kib,cost_scope,dictionary_entries,method_parameters,notes
public-artifact,cpython-http-server,single-object,none,raw,,,48516,48516,0.000000,1.000000,0,0,0,True,True,,,,,,,
public-artifact,cpython-http-server,single-object,none,gzip-6,,,48516,14856,0.693792,3.265751,0,0,0,True,True,0.843,54.872,26800.0,compress_only,,,
public-artifact,cpython-http-server,single-object,none,zstd-3,,,48516,15907,0.672129,3.049978,0,0,0,True,True,14.203,3.258,26880.0,compress_only,,,
public-artifact,cpython-http-server,warm-update-like,fixed,fixed-block-reuse,47735,40101,48516,40380,0.167697,1.201486,3,2,1,True,True,5.916,7.821,26896.0,fixed_block_scan,5,block_size=8192; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
public-artifact,cpython-http-server,cold-intra-artifact,fixed,redulink,,,48516,48660,0.000000,0.997041,6,6,0,True,True,0.141,326.986,26912.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,cpython-http-server,warm-update-like,fixed,redulink,47735,40101,48516,48660,0.000000,0.997041,6,6,0,True,True,0.114,407.053,26976.0,redulink_encode_decode,6,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,cpython-http-server,cold-intra-artifact,cdc,redulink,,,48516,48612,0.000000,0.998025,4,4,0,True,True,6.097,7.589,26976.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,cpython-http-server,warm-update-like,cdc,redulink,47735,40101,48516,48612,0.000000,0.998025,4,4,0,True,True,17.897,2.585,27008.0,redulink_encode_decode,4,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,cpython-http-server,warm-update-like,cdc,gzip-then-redulink,14576,14767,14856,14928,0.000000,0.995177,3,3,0,True,True,5.405,2.621,27024.0,redulink_only_after_precompression,2,chunker=cdc; target_chunk_size=8192; compression=gzip-before-redulink,ReduLink applied after gzip compression
public-artifact,cpython-http-server,warm-update-like,cdc,redulink-then-gzip,47735,40101,48516,15017,0.690473,3.230738,4,4,0,True,False,18.591,2.489,27120.0,redulink_encode_decode_plus_gzip_frame_stream,4,chunker=cdc; target_chunk_size=8192; compression=redulink-frame-stream-then-gzip,gzip applied to modeled ReduLink frame stream
public-artifact,cpython-http-server,warm-update-like,cdc,zstd-then-redulink,15625,15845,15907,15931,0.000000,0.998494,1,1,0,True,True,5.866,2.586,27184.0,redulink_only_after_precompression,3,chunker=cdc; target_chunk_size=8192; compression=zstd-before-redulink,ReduLink applied after zstd compression
public-artifact,cpython-pathlib,single-object,none,raw,,,51149,51149,0.000000,1.000000,0,0,0,True,True,,,,,,,
public-artifact,cpython-pathlib,single-object,none,gzip-6,,,51149,12569,0.754267,4.069457,0,0,0,True,True,0.799,61.079,27184.0,compress_only,,,
public-artifact,cpython-pathlib,single-object,none,zstd-3,,,51149,13647,0.733191,3.748003,0,0,0,True,True,14.114,3.456,27216.0,compress_only,,,
public-artifact,cpython-pathlib,warm-update-like,fixed,fixed-block-reuse,48572,45906,51149,51169,0.000000,0.999609,1,1,0,True,True,7.597,6.421,27216.0,fixed_block_scan,5,block_size=8192; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
public-artifact,cpython-pathlib,cold-intra-artifact,fixed,redulink,,,51149,51317,0.000000,0.996726,7,7,0,True,True,0.096,508.782,27216.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,cpython-pathlib,warm-update-like,fixed,redulink,48572,45906,51149,51317,0.000000,0.996726,7,7,0,True,True,0.102,479.405,27232.0,redulink_encode_decode,6,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,cpython-pathlib,cold-intra-artifact,cdc,redulink,,,51149,51293,0.000000,0.997193,6,6,0,True,True,6.418,7.601,27232.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,cpython-pathlib,warm-update-like,cdc,redulink,48572,45906,51149,51293,0.000000,0.997193,6,6,0,True,True,17.916,2.723,27264.0,redulink_encode_decode,7,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,cpython-pathlib,warm-update-like,cdc,gzip-then-redulink,11869,12503,12569,12593,0.000000,0.998094,1,1,0,True,True,4.539,2.641,27296.0,redulink_only_after_precompression,2,chunker=cdc; target_chunk_size=8192; compression=gzip-before-redulink,ReduLink applied after gzip compression
public-artifact,cpython-pathlib,warm-update-like,cdc,redulink-then-gzip,48572,45906,51149,12816,0.749438,3.991027,6,6,0,True,False,18.539,2.631,27424.0,redulink_encode_decode_plus_gzip_frame_stream,7,chunker=cdc; target_chunk_size=8192; compression=redulink-frame-stream-then-gzip,gzip applied to modeled ReduLink frame stream
public-artifact,cpython-pathlib,warm-update-like,cdc,zstd-then-redulink,12926,13586,13647,13695,0.000000,0.996495,2,2,0,True,True,4.741,2.745,27456.0,redulink_only_after_precompression,1,chunker=cdc; target_chunk_size=8192; compression=zstd-before-redulink,ReduLink applied after zstd compression
public-artifact,linux-kernel-parameters,single-object,none,raw,,,272692,272692,0.000000,1.000000,0,0,0,True,True,,,,,,,
public-artifact,linux-kernel-parameters,single-object,none,gzip-6,,,272692,93548,0.656946,2.914996,0,0,0,True,True,9.679,26.868,27744.0,compress_only,,,
public-artifact,linux-kernel-parameters,single-object,none,zstd-3,,,272692,93817,0.655960,2.906637,0,0,0,True,True,15.079,17.247,27744.0,compress_only,,,
public-artifact,linux-kernel-parameters,warm-update-like,fixed,fixed-block-reuse,269275,259568,272692,264556,0.029836,1.030753,3,2,1,True,True,39.648,6.559,27888.0,fixed_block_scan,32,block_size=8192; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
public-artifact,linux-kernel-parameters,cold-intra-artifact,fixed,redulink,,,272692,273508,0.000000,0.997017,34,34,0,True,True,0.313,830.640,28160.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,linux-kernel-parameters,warm-update-like,fixed,redulink,269275,259568,272692,273508,0.000000,0.997017,34,34,0,True,True,0.509,510.713,28560.0,redulink_encode_decode,33,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,linux-kernel-parameters,cold-intra-artifact,cdc,redulink,,,272692,273364,0.000000,0.997542,28,28,0,True,True,32.554,7.989,28608.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,linux-kernel-parameters,warm-update-like,cdc,redulink,269275,259568,272692,273364,0.000000,0.997542,28,28,0,True,True,98.707,2.635,28736.0,redulink_encode_decode,30,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,linux-kernel-parameters,warm-update-like,cdc,gzip-then-redulink,92690,92889,93548,93812,0.000000,0.997186,11,11,0,True,True,33.325,2.677,28864.0,redulink_only_after_precompression,12,chunker=cdc; target_chunk_size=8192; compression=gzip-before-redulink,ReduLink applied after gzip compression
public-artifact,linux-kernel-parameters,warm-update-like,cdc,redulink-then-gzip,269275,259568,272692,94747,0.652549,2.878107,28,28,0,True,False,104.732,2.483,29504.0,redulink_encode_decode_plus_gzip_frame_stream,30,chunker=cdc; target_chunk_size=8192; compression=redulink-frame-stream-then-gzip,gzip applied to modeled ReduLink frame stream
public-artifact,linux-kernel-parameters,warm-update-like,cdc,zstd-then-redulink,92895,93441,93817,94057,0.000000,0.997448,10,10,0,True,True,33.553,2.667,29504.0,redulink_only_after_precompression,9,chunker=cdc; target_chunk_size=8192; compression=zstd-before-redulink,ReduLink applied after zstd compression
public-artifact,nginx-changes,single-object,none,raw,,,828922,828922,0.000000,1.000000,0,0,0,True,True,,,,,,,
public-artifact,nginx-changes,single-object,none,gzip-6,,,828922,153493,0.814828,5.400390,0,0,0,True,True,11.871,66.592,30016.0,compress_only,,,
public-artifact,nginx-changes,single-object,none,zstd-3,,,828922,155396,0.812532,5.334256,0,0,0,True,True,19.680,40.168,30016.0,compress_only,,,
public-artifact,nginx-changes,warm-update-like,fixed,fixed-block-reuse,827855,797468,828922,11362,0.986293,72.955642,102,2,100,True,True,1.730,456.982,30368.0,fixed_block_scan,101,block_size=8192; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
public-artifact,nginx-changes,cold-intra-artifact,fixed,redulink,,,828922,831370,0.000000,0.997055,102,102,0,True,True,0.914,864.982,31168.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,nginx-changes,warm-update-like,fixed,redulink,827855,797468,828922,831370,0.000000,0.997055,102,102,0,True,True,1.738,454.878,32336.0,redulink_encode_decode,102,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,nginx-changes,cold-intra-artifact,cdc,redulink,,,828922,830194,0.000000,0.998468,53,53,0,True,True,102.337,7.725,33376.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,nginx-changes,warm-update-like,cdc,redulink,827855,797468,828922,15603,0.981177,53.125809,53,1,52,True,True,319.241,2.476,33856.0,redulink_encode_decode,53,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,nginx-changes,warm-update-like,cdc,gzip-then-redulink,153298,152845,153493,153925,0.000000,0.997193,18,18,0,True,True,54.635,2.679,33872.0,redulink_only_after_precompression,20,chunker=cdc; target_chunk_size=8192; compression=gzip-before-redulink,ReduLink applied after gzip compression
public-artifact,nginx-changes,warm-update-like,cdc,redulink-then-gzip,827855,797468,828922,5575,0.993274,148.685561,53,1,52,True,False,305.950,2.584,33920.0,redulink_encode_decode_plus_gzip_frame_stream,53,chunker=cdc; target_chunk_size=8192; compression=redulink-frame-stream-then-gzip,gzip applied to modeled ReduLink frame stream
public-artifact,nginx-changes,warm-update-like,cdc,zstd-then-redulink,155337,154702,155396,155828,0.000000,0.997228,18,18,0,True,True,55.961,2.648,33936.0,redulink_only_after_precompression,15,chunker=cdc; target_chunk_size=8192; compression=zstd-before-redulink,ReduLink applied after zstd compression
public-artifact,redis-readme,single-object,none,raw,,,23845,23845,0.000000,1.000000,0,0,0,True,True,,,,,,,
public-artifact,redis-readme,single-object,none,gzip-6,,,23845,9072,0.619543,2.628417,0,0,0,True,True,0.514,44.213,33936.0,compress_only,,,
public-artifact,redis-readme,single-object,none,zstd-3,,,23845,9370,0.607046,2.544824,0,0,0,True,True,15.645,1.454,33936.0,compress_only,,,
public-artifact,redis-readme,warm-update-like,fixed,fixed-block-reuse,22607,22354,23845,23865,0.000000,0.999162,1,1,0,True,True,2.760,8.240,33936.0,fixed_block_scan,2,block_size=8192; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
public-artifact,redis-readme,cold-intra-artifact,fixed,redulink,,,23845,23917,0.000000,0.996990,3,3,0,True,True,0.073,311.866,33936.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,redis-readme,warm-update-like,fixed,redulink,22607,22354,23845,23917,0.000000,0.996990,3,3,0,True,True,0.047,485.552,33936.0,redulink_encode_decode,3,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,redis-readme,cold-intra-artifact,cdc,redulink,,,23845,23965,0.000000,0.994993,5,5,0,True,True,2.749,8.271,33936.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,redis-readme,warm-update-like,cdc,redulink,22607,22354,23845,15236,0.361040,1.565043,5,3,2,True,True,7.901,2.878,33936.0,redulink_encode_decode,5,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,redis-readme,warm-update-like,cdc,gzip-then-redulink,8555,9017,9072,9144,0.000000,0.992126,3,3,0,True,True,3.087,2.803,33936.0,redulink_only_after_precompression,1,chunker=cdc; target_chunk_size=8192; compression=gzip-before-redulink,ReduLink applied after gzip compression
public-artifact,redis-readme,warm-update-like,cdc,redulink-then-gzip,22607,22354,23845,6265,0.737261,3.806065,5,3,2,True,False,8.234,2.762,33936.0,redulink_encode_decode_plus_gzip_frame_stream,5,chunker=cdc; target_chunk_size=8192; compression=redulink-frame-stream-then-gzip,gzip applied to modeled ReduLink frame stream
public-artifact,redis-readme,warm-update-like,cdc,zstd-then-redulink,8859,9323,9370,9418,0.000000,0.994903,2,2,0,True,True,3.243,2.755,33936.0,redulink_only_after_precompression,1,chunker=cdc; target_chunk_size=8192; compression=zstd-before-redulink,ReduLink applied after zstd compression
public-artifact,ietf-quic-rfc,single-object,none,raw,,,126175,126175,0.000000,1.000000,0,0,0,True,True,,,,,,,
public-artifact,ietf-quic-rfc,single-object,none,gzip-6,,,126175,39177,0.689503,3.220640,0,0,0,True,True,3.134,38.393,33936.0,compress_only,,,
public-artifact,ietf-quic-rfc,single-object,none,zstd-3,,,126175,40447,0.679437,3.119514,0,0,0,True,True,17.579,6.845,33936.0,compress_only,,,
public-artifact,ietf-quic-rfc,warm-update-like,fixed,fixed-block-reuse,403442,393620,126175,126195,0.000000,0.999842,1,1,0,True,True,18.005,6.683,33936.0,fixed_block_scan,49,block_size=8192; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
public-artifact,ietf-quic-rfc,cold-intra-artifact,fixed,redulink,,,126175,126559,0.000000,0.996966,16,16,0,True,True,0.215,558.699,33936.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,ietf-quic-rfc,warm-update-like,fixed,redulink,403442,393620,126175,126559,0.000000,0.996966,16,16,0,True,True,0.559,215.131,33952.0,redulink_encode_decode,50,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,ietf-quic-rfc,cold-intra-artifact,cdc,redulink,,,126175,126487,0.000000,0.997533,13,13,0,True,True,15.499,7.764,33952.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,ietf-quic-rfc,warm-update-like,cdc,redulink,403442,393620,126175,126487,0.000000,0.997533,13,13,0,True,True,113.117,1.064,33968.0,redulink_encode_decode,47,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
public-artifact,ietf-quic-rfc,warm-update-like,cdc,gzip-then-redulink,108695,108536,39177,39321,0.000000,0.996338,6,6,0,True,True,30.697,1.217,33968.0,redulink_only_after_precompression,13,chunker=cdc; target_chunk_size=8192; compression=gzip-before-redulink,ReduLink applied after gzip compression
public-artifact,ietf-quic-rfc,warm-update-like,cdc,redulink-then-gzip,403442,393620,126175,39680,0.685516,3.179814,13,13,0,True,False,115.059,1.046,33984.0,redulink_encode_decode_plus_gzip_frame_stream,47,chunker=cdc; target_chunk_size=8192; compression=redulink-frame-stream-then-gzip,gzip applied to modeled ReduLink frame stream
public-artifact,ietf-quic-rfc,warm-update-like,cdc,zstd-then-redulink,109717,109543,40447,40591,0.000000,0.996452,6,6,0,True,True,32.316,1.194,33984.0,redulink_only_after_precompression,11,chunker=cdc; target_chunk_size=8192; compression=zstd-before-redulink,ReduLink applied after zstd compression
