case,round,flow,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,client_completion_ms,connection_plus_application_completion_ms,client_ttfb_ms,encoded_goodput_mbps,reconstructed_goodput_mbps,reconstruction_ok,congestion_control_algorithm,application_stream_id,encoded_goodput_jain_fairness,pair_qdisc_bytes,pair_qdisc_packets,pair_qdisc_drops,case_execution_order
raw-raw,1,A,raw,833536,833536,833536,2518.749,2582.15,45.564,2.64746,2.64746,True,reno,0,0.904851,1862979,2429,14,1
raw-raw,1,B,raw,833536,833536,833536,1285.219,1339.649,45.697,5.188445,5.188445,True,reno,0,0.904851,1862979,2429,14,1
redulink-redulink,1,A,redulink,8388608,833610,8388608,3226.067,3705.363,186.789,2.067186,20.802068,True,reno,0,0.945853,1866358,2433,14,2
redulink-redulink,1,B,redulink,8388608,833610,8388608,1980.361,2415.103,210.39,3.367507,33.887187,True,reno,0,0.945853,1866358,2433,14,2
raw-redulink,1,A,raw,833536,833536,833536,2962.407,3241.088,88.715,2.25097,2.25097,True,reno,0,0.814539,1858356,2360,9,3
raw-redulink,1,B,redulink,8388608,833610,8388608,1048.615,1282.2,132.85,6.359703,63.99762,True,reno,0,0.814539,1858356,2360,9,3
redulink-redulink,2,A,redulink,8388608,833610,8388608,1916.662,2349.313,207.572,3.479424,35.013406,True,reno,0,0.998274,1865756,2423,12,1
redulink-redulink,2,B,redulink,8388608,833610,8388608,2082.989,2560.111,183.924,3.201592,32.21758,True,reno,0,0.998274,1865756,2423,12,1
raw-redulink,2,A,raw,833536,833536,833536,2365.173,2649.528,89.66,2.819366,2.819366,True,reno,0,0.988168,1859426,2374,12,2
raw-redulink,2,B,redulink,8388608,833610,8388608,1898.777,2137.103,134.667,3.512198,35.343205,True,reno,0,0.988168,1859426,2374,12,2
raw-raw,2,A,raw,833536,833536,833536,966.196,1059.954,44.396,6.901589,6.901589,True,reno,0,0.886629,1855396,2313,10,3
raw-raw,2,B,raw,833536,833536,833536,2041.82,2134.504,43.809,3.265855,3.265855,True,reno,0,0.886629,1855396,2313,10,3
raw-redulink,3,A,raw,833536,833536,833536,2875.692,3157.902,88.827,2.318846,2.318846,True,reno,0,0.918547,1864941,2443,20,1
raw-redulink,3,B,redulink,8388608,833610,8388608,1556.136,1792.549,133.676,4.285538,43.125321,True,reno,0,0.918547,1864941,2443,20,1
raw-raw,3,A,raw,833536,833536,833536,1958.0,2008.827,45.434,3.405663,3.405663,True,reno,0,0.997285,1865997,2467,12,2
raw-raw,3,B,raw,833536,833536,833536,1763.796,1813.644,45.68,3.780646,3.780646,True,reno,0,0.997285,1865997,2467,12,2
redulink-redulink,3,A,redulink,8388608,833610,8388608,2393.477,2864.414,185.008,2.786273,28.038232,True,reno,0,0.936045,1860373,2353,13,3
redulink-redulink,3,B,redulink,8388608,833610,8388608,1401.508,1827.225,209.304,4.75836,47.883326,True,reno,0,0.936045,1860373,2353,13,3
raw-raw,4,A,raw,833536,833536,833536,1321.784,1372.536,45.495,5.044915,5.044915,True,reno,0,0.984934,1855187,2328,9,1
raw-raw,4,B,raw,833536,833536,833536,1694.88,1744.563,45.818,3.934372,3.934372,True,reno,0,0.984934,1855187,2328,9,1
redulink-redulink,4,A,redulink,8388608,833610,8388608,2214.607,2681.498,184.886,3.011315,30.302832,True,reno,0,0.945626,1857241,2313,7,2
redulink-redulink,4,B,redulink,8388608,833610,8388608,1357.94,1779.507,209.163,4.911027,49.419609,True,reno,0,0.945626,1857241,2313,7,2
raw-redulink,4,A,raw,833536,833536,833536,2183.925,2465.115,88.999,3.05335,3.05335,True,reno,0,0.998187,1872885,2548,15,3
raw-redulink,4,B,redulink,8388608,833610,8388608,2378.557,2614.017,133.761,2.80375,28.214108,True,reno,0,0.998187,1872885,2548,15,3
redulink-redulink,5,A,redulink,8388608,833610,8388608,3056.27,3535.255,181.825,2.182032,21.957767,True,reno,0,0.828341,1862348,2382,6,1
redulink-redulink,5,B,redulink,8388608,833610,8388608,1144.133,1578.099,205.759,5.828763,58.654775,True,reno,0,0.828341,1862348,2382,6,1
raw-redulink,5,A,raw,833536,833536,833536,3090.206,3373.372,89.084,2.157878,2.157878,True,reno,0,0.884527,1864620,2439,16,2
raw-redulink,5,B,redulink,8388608,833610,8388608,1449.958,1686.889,134.271,4.599361,46.283316,True,reno,0,0.884527,1864620,2439,16,2
raw-raw,5,A,raw,833536,833536,833536,1837.576,1888.362,45.479,3.62885,3.62885,True,reno,0,0.99692,1868248,2498,12,3
raw-raw,5,B,raw,833536,833536,833536,2053.87,2103.643,45.862,3.246694,3.246694,True,reno,0,0.99692,1868248,2498,12,3
raw-redulink,6,A,raw,833536,833536,833536,2212.776,2495.412,89.079,3.01354,3.01354,True,reno,0,0.935126,1858680,2361,13,1
raw-redulink,6,B,redulink,8388608,833610,8388608,1290.255,1527.415,133.585,5.168653,52.012094,True,reno,0,0.935126,1858680,2361,13,1
raw-raw,6,A,raw,833536,833536,833536,1304.515,1355.606,44.998,5.111699,5.111699,True,reno,0,0.924539,1860867,2401,9,2
raw-raw,6,B,raw,833536,833536,833536,2348.014,2398.092,45.72,2.839969,2.839969,True,reno,0,0.924539,1860867,2401,9,2
redulink-redulink,6,A,redulink,8388608,833610,8388608,2226.662,2693.259,180.85,2.995012,30.138775,True,reno,0,0.997286,1869733,2476,11,3
redulink-redulink,6,B,redulink,8388608,833610,8388608,2471.785,2893.419,204.74,2.698002,27.14996,True,reno,0,0.997286,1869733,2476,11,3
raw-raw,7,A,raw,833536,833536,833536,1474.824,1525.707,45.473,4.521413,4.521413,True,reno,0,0.989768,1861058,2404,12,1
raw-raw,7,B,raw,833536,833536,833536,1808.675,1858.562,45.719,3.686836,3.686836,True,reno,0,0.989768,1861058,2404,12,1
redulink-redulink,7,A,redulink,8388608,833610,8388608,2611.797,3077.67,181.826,2.553368,25.694518,True,reno,0,0.88517,1858467,2329,9,2
redulink-redulink,7,B,redulink,8388608,833610,8388608,1228.585,1649.038,206.13,5.428098,54.622891,True,reno,0,0.88517,1858467,2329,9,2
raw-redulink,7,A,raw,833536,833536,833536,2139.707,2432.255,88.817,3.116449,3.116449,True,reno,0,0.97584,1858506,2360,6,3
raw-redulink,7,B,redulink,8388608,833610,8388608,1558.042,1804.335,134.13,4.280295,43.072564,True,reno,0,0.97584,1858506,2360,6,3
redulink-redulink,8,A,redulink,8388608,833610,8388608,2176.218,2640.591,180.559,3.064436,30.837381,True,reno,0,0.999999,1868256,2457,13,1
redulink-redulink,8,B,redulink,8388608,833610,8388608,2179.498,2598.668,205.787,3.059824,30.790973,True,reno,0,0.999999,1868256,2457,13,1
raw-redulink,8,A,raw,833536,833536,833536,3279.239,3559.718,88.704,2.033486,2.033486,True,reno,0,0.814189,1863190,2421,12,2
raw-redulink,8,B,redulink,8388608,833610,8388608,1159.105,1393.97,133.372,5.753474,57.89714,True,reno,0,0.814189,1863190,2421,12,2
raw-raw,8,A,raw,833536,833536,833536,1704.957,1756.142,45.437,3.911118,3.911118,True,reno,0,0.982416,1859369,2381,5,3
raw-raw,8,B,raw,833536,833536,833536,1302.593,1352.805,45.645,5.119241,5.119241,True,reno,0,0.982416,1859369,2381,5,3
raw-redulink,9,A,raw,833536,833536,833536,1141.366,1378.23,118.155,5.842375,5.842375,True,reno,0,0.8044,1864938,2422,15,1
raw-redulink,9,B,redulink,8388608,833610,8388608,3362.382,3599.986,135.936,1.98338,19.958727,True,reno,0,0.8044,1864938,2422,15,1
raw-raw,9,A,raw,833536,833536,833536,1376.06,1426.112,45.552,4.845928,4.845928,True,reno,0,0.986694,1854745,2322,7,2
raw-raw,9,B,raw,833536,833536,833536,1737.647,1788.473,45.397,3.837539,3.837539,True,reno,0,0.986694,1854745,2322,7,2
redulink-redulink,9,A,redulink,8388608,833610,8388608,2611.506,3082.416,182.159,2.553653,25.697381,True,reno,0,0.950205,1864914,2411,14,3
redulink-redulink,9,B,redulink,8388608,833610,8388608,1638.58,2063.394,207.163,4.069914,40.9555,True,reno,0,0.950205,1864914,2411,14,3
raw-raw,10,A,raw,833536,833536,833536,2722.933,2773.709,45.397,2.448936,2.448936,True,reno,0,0.860239,1865495,2462,13,1
