method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,elapsed_ms,effective_multiplier,reconstruction_ok,semantic_misses,repair_full_frames,round_id,note
raw-quic-stream,98304,98304,98304,285.748,1.0,True,0,0,1,concurrent round 1; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30815,98304,183.143,3.190135,True,13,13,1,concurrent round 1; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,247.834,1.0,True,0,0,2,concurrent round 2; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,178.967,3.190031,True,13,13,2,concurrent round 2; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,221.588,1.0,True,0,0,3,concurrent round 3; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,217.24,3.190031,True,13,13,3,concurrent round 3; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,184.39,1.0,True,0,0,4,concurrent round 4; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,183.866,3.190031,True,13,13,4,concurrent round 4; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,221.139,1.0,True,0,0,5,concurrent round 5; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,177.863,3.190031,True,13,13,5,concurrent round 5; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,247.843,1.0,True,0,0,6,concurrent round 6; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,187.691,3.190031,True,13,13,6,concurrent round 6; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,229.365,1.0,True,0,0,7,concurrent round 7; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,187.331,3.190031,True,13,13,7,concurrent round 7; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,185.665,1.0,True,0,0,8,concurrent round 8; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,152.665,3.190031,True,13,13,8,concurrent round 8; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,222.477,1.0,True,0,0,9,concurrent round 9; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,148.078,3.190031,True,13,13,9,concurrent round 9; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,220.65,1.0,True,0,0,10,concurrent round 10; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,182.574,3.190031,True,13,13,10,concurrent round 10; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,220.488,1.0,True,0,0,11,concurrent round 11; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,178.382,3.190031,True,13,13,11,concurrent round 11; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,220.39,1.0,True,0,0,12,concurrent round 12; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,176.948,3.190031,True,13,13,12,concurrent round 12; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,248.993,1.0,True,0,0,13,concurrent round 13; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,177.161,3.190031,True,13,13,13,concurrent round 13; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,239.975,1.0,True,0,0,14,concurrent round 14; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,270.293,3.190031,True,13,13,14,concurrent round 14; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,221.976,1.0,True,0,0,15,concurrent round 15; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,178.353,3.190031,True,13,13,15,concurrent round 15; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,220.066,1.0,True,0,0,16,concurrent round 16; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,185.252,3.190031,True,13,13,16,concurrent round 16; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,221.467,1.0,True,0,0,17,concurrent round 17; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
redulink-binary-quic-stream,98304,30816,98304,145.99,3.190031,True,13,13,17,concurrent round 17; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
raw-quic-stream,98304,98304,98304,221.672,1.0,True,0,0,18,concurrent round 18; unshaped localhost schedule; rate_hint_mbps=25.0 is metadata only
