payload,rate_mbps,rtt_ms,loss_every,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,mean_queue_delay_ms,max_queue_delay_ms,emulation
demo,5.0,20.0,0,1,raw-quic-stream,98304,98304,98304,1412.655,0.556705,0.556705,True,0,19.217,82.215,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,1,redulink-binary-quic-stream,98304,30818,98304,1073.027,0.73291,0.229765,True,13,19.217,82.215,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,2,raw-quic-stream,98304,98304,98304,808.205,0.97306,0.97306,True,0,13.887,49.119,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,2,redulink-binary-quic-stream,98304,30818,98304,875.437,0.898331,0.281624,True,13,13.887,49.119,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,3,raw-quic-stream,98304,98304,98304,821.656,0.95713,0.95713,True,0,14.608,51.049,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,3,redulink-binary-quic-stream,98304,30818,98304,917.137,0.857486,0.268819,True,13,14.608,51.049,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,4,raw-quic-stream,98304,98304,98304,1327.455,0.592436,0.592436,True,0,18.841,81.344,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,4,redulink-binary-quic-stream,98304,30818,98304,1037.383,0.758092,0.23766,True,13,18.841,81.344,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,5,raw-quic-stream,98304,98304,98304,992.6,0.792295,0.792295,True,0,16.662,60.68,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,5,redulink-binary-quic-stream,98304,30818,98304,1055.955,0.744759,0.23348,True,13,16.662,60.68,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,6,raw-quic-stream,98304,98304,98304,789.457,0.996168,0.996168,True,0,14.106,49.126,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,6,redulink-binary-quic-stream,98304,30818,98304,864.977,0.909194,0.28503,True,13,14.106,49.126,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,7,raw-quic-stream,98304,98304,98304,828.18,0.949591,0.949591,True,0,14.464,51.032,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,7,redulink-binary-quic-stream,98304,30818,98304,928.8,0.846718,0.265444,True,13,14.464,51.032,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,8,raw-quic-stream,98304,98304,98304,1354.225,0.580725,0.580725,True,0,19.13,80.66,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,8,redulink-binary-quic-stream,98304,30818,98304,1029.051,0.76423,0.239584,True,13,19.13,80.66,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,9,raw-quic-stream,98304,98304,98304,840.744,0.9354,0.9354,True,0,14.572,51.007,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,9,redulink-binary-quic-stream,98304,30818,98304,885.067,0.888556,0.27856,True,13,14.572,51.007,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,10,raw-quic-stream,98304,98304,98304,976.926,0.805007,0.805007,True,0,16.685,60.639,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,10,redulink-binary-quic-stream,98304,30818,98304,989.708,0.79461,0.249108,True,13,16.685,60.639,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,11,raw-quic-stream,98304,98304,98304,832.399,0.944778,0.944778,True,0,14.559,50.957,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,11,redulink-binary-quic-stream,98304,30818,98304,918.816,0.855919,0.268328,True,13,14.559,50.957,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,12,raw-quic-stream,98304,98304,98304,1403.219,0.560449,0.560449,True,0,19.381,82.399,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,12,redulink-binary-quic-stream,98304,30818,98304,1069.045,0.73564,0.230621,True,13,19.381,82.399,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,13,raw-quic-stream,98304,98304,98304,832.124,0.94509,0.94509,True,0,14.769,51.0,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,20.0,0,13,redulink-binary-quic-stream,98304,30818,98304,915.19,0.85931,0.269391,True,13,14.769,51.0,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
