payload,rate_mbps,rtt_ms,loss_every,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,mean_queue_delay_ms,max_queue_delay_ms,emulation
redis,5.0,20.0,0,1,raw-quic-stream,524288,524288,524288,2163.767,1.938427,1.938427,True,0,31.814,105.729,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,1,redulink-binary-quic-stream,524288,136756,524288,2102.599,1.994819,0.520331,True,72,31.814,105.729,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,2,raw-quic-stream,524288,524288,524288,2094.956,2.002096,2.002096,True,0,27.891,98.315,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,2,redulink-binary-quic-stream,524288,136755,524288,2004.628,2.09231,0.545757,True,72,27.891,98.315,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,3,raw-quic-stream,524288,524288,524288,2018.019,2.078426,2.078426,True,0,28.475,93.566,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,3,redulink-binary-quic-stream,524288,136756,524288,1950.332,2.150559,0.560955,True,72,28.475,93.566,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,4,raw-quic-stream,524288,524288,524288,1995.64,2.101734,2.101734,True,0,27.737,90.37,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,4,redulink-binary-quic-stream,524288,136756,524288,1954.963,2.145465,0.559626,True,72,27.737,90.37,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,5,raw-quic-stream,524288,524288,524288,2156.282,1.945156,1.945156,True,0,31.654,105.72,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,5,redulink-binary-quic-stream,524288,136756,524288,1938.617,2.163555,0.564345,True,72,31.654,105.72,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,6,raw-quic-stream,524288,524288,524288,2158.54,1.943121,1.943121,True,0,31.55,103.838,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,6,redulink-binary-quic-stream,524288,136756,524288,2071.884,2.024391,0.528045,True,72,31.55,103.838,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
redis,5.0,20.0,0,7,raw-quic-stream,524288,524288,524288,2103.846,1.993636,1.993636,True,0,29.87,95.949,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
