object,role,stream_id,input_bytes,initial_ref_frames,initial_full_frames,semantic_misses,repair_full_frames,forward_protocol_stream_bytes,reverse_repair_control_stream_bytes,measurement_control_stream_bytes_excluded,diagnostic_stats_stream_bytes_excluded,client_ttfb_from_session_ms,client_completion_from_session_ms,client_stream_duration_ms,server_completion_ms,reconstruction_ok,tls_exporter_live,tls_exporter_outputs_match,sender_drain_batch_bytes,mode,round,execution_order
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1156,681.516,4873.128,4811.381,4694.388,True,True,True,65536,multiplexed,1,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,179.942,382.959,259.362,165.019,True,True,True,65536,multiplexed,1,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,181.126,384.091,257.688,176.841,True,True,True,65536,multiplexed,1,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,182.211,386.288,257.669,180.532,True,True,True,65536,multiplexed,1,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,221.289,385.215,254.467,171.795,True,True,True,65536,multiplexed,1,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1156,1460.247,7390.248,7341.03,7001.61,True,True,True,65536,sequential,1,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,7436.756,7491.122,99.525,53.495,True,True,True,65536,sequential,1,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,7536.152,7590.962,99.636,53.806,True,True,True,65536,sequential,1,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,7636.384,7689.914,98.648,52.484,True,True,True,65536,sequential,1,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,7734.888,7788.241,98.118,52.253,True,True,True,65536,sequential,1,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,620.268,4887.874,4839.166,4725.679,True,True,True,65536,sequential,2,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,4934.463,4985.626,96.385,49.992,True,True,True,65536,sequential,2,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,5030.692,5082.129,96.264,50.479,True,True,True,65536,sequential,2,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,5127.22,5178.888,96.571,50.621,True,True,True,65536,sequential,2,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,5224.004,5314.52,135.415,89.315,True,True,True,65536,sequential,2,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1158,1488.197,6816.83,6726.728,6604.858,True,True,True,65536,multiplexed,2,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1137,212.393,553.478,396.203,339.856,True,True,True,65536,multiplexed,2,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,255.763,571.988,412.117,338.792,True,True,True,65536,multiplexed,2,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,253.146,561.491,399.301,305.417,True,True,True,65536,multiplexed,2,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,255.308,559.406,395.101,302.92,True,True,True,65536,multiplexed,2,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1153,678.256,5961.277,5912.584,5798.5,True,True,True,65536,multiplexed,3,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,163.806,358.668,250.034,163.63,True,True,True,65536,multiplexed,3,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,164.92,361.062,249.792,184.477,True,True,True,65536,multiplexed,3,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,166.625,359.933,245.919,169.747,True,True,True,65536,multiplexed,3,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,206.563,362.265,246.173,178.434,True,True,True,65536,multiplexed,3,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1156,633.236,5318.153,5269.391,5153.579,True,True,True,65536,sequential,3,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,5365.301,5416.419,96.565,50.083,True,True,True,65536,sequential,3,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1135,5462.544,5514.092,97.429,50.427,True,True,True,65536,sequential,3,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,5559.307,5611.188,96.817,50.693,True,True,True,65536,sequential,3,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,5656.43,5708.016,96.604,50.552,True,True,True,65536,sequential,3,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,617.616,5755.191,5706.697,5592.517,True,True,True,65536,sequential,4,1
