experiment,scenario,metric,n,mean,stdev,ci95_low,ci95_high,min,max,inference_scope
quic_emulated_path,demo; rate=20.0Mbps; rtt=20.0ms; loss_every=0,completion_ratio_redulink_over_raw,20,0.882717,0.024215,0.872845,0.89371,0.850687,0.933613,within-run local repeat variability; not a WAN or deployment-population interval
quic_emulated_path,demo; rate=20.0Mbps; rtt=20.0ms; loss_every=0,encoded_byte_ratio_redulink_over_raw,20,0.313476,5e-06,0.313474,0.313477,0.313456,0.313477,within-run local repeat variability; not a WAN or deployment-population interval
quic_emulated_path,demo; rate=20.0Mbps; rtt=20.0ms; loss_every=0,redulink_stream_multiplier,20,3.190042,4.6e-05,3.190031,3.190062,3.190031,3.190238,within-run local repeat variability; not a WAN or deployment-population interval
quic_emulated_path,demo; rate=20.0Mbps; rtt=80.0ms; loss_every=0,completion_ratio_redulink_over_raw,20,1.012075,0.012645,1.006669,1.017433,0.989279,1.038538,within-run local repeat variability; not a WAN or deployment-population interval
quic_emulated_path,demo; rate=20.0Mbps; rtt=80.0ms; loss_every=0,encoded_byte_ratio_redulink_over_raw,20,0.313485,4e-06,0.313483,0.313487,0.313477,0.313487,within-run local repeat variability; not a WAN or deployment-population interval
quic_emulated_path,demo; rate=20.0Mbps; rtt=80.0ms; loss_every=0,redulink_stream_multiplier,20,3.189943,3.8e-05,3.189928,3.189964,3.189928,3.190031,within-run local repeat variability; not a WAN or deployment-population interval
quic_emulated_path,demo; rate=5.0Mbps; rtt=20.0ms; loss_every=0,completion_ratio_redulink_over_raw,20,0.973348,0.167984,0.904346,1.040396,0.769328,1.118545,within-run local repeat variability; not a WAN or deployment-population interval
quic_emulated_path,demo; rate=5.0Mbps; rtt=20.0ms; loss_every=0,encoded_byte_ratio_redulink_over_raw,20,0.313484,6e-06,0.313482,0.313486,0.313466,0.313487,within-run local repeat variability; not a WAN or deployment-population interval
quic_emulated_path,demo; rate=5.0Mbps; rtt=20.0ms; loss_every=0,redulink_stream_multiplier,20,3.189954,5.7e-05,3.189933,3.189979,3.189928,3.190135,within-run local repeat variability; not a WAN or deployment-population interval
quic_emulated_path,demo; rate=5.0Mbps; rtt=80.0ms; loss_every=0,completion_ratio_redulink_over_raw,20,0.867509,0.018799,0.859785,0.875566,0.832138,0.911046,within-run local repeat variability; not a WAN or deployment-population interval
