trial,raw_stream_multiplier,raw_client_ms,redulink_stream_multiplier,redulink_udp_est_multiplier,redulink_client_ms,redulink_reconstruction_ok
1,1.0,120.714,3.190135,2.603666,105.501,True
2,1.0,101.26,3.190135,2.604493,100.067,True
3,1.0,100.668,3.190238,2.604079,99.387,True
4,1.0,99.378,3.190135,2.607395,116.933,True
5,1.0,103.112,3.190135,2.596171,102.841,True
6,1.0,102.295,3.190135,2.59981,103.626,True
7,1.0,102.312,3.190135,2.607741,100.584,True
8,1.0,99.38,3.190135,2.596171,99.065,True
9,1.0,101.587,3.190135,2.599878,102.568,True
10,1.0,101.321,3.190135,2.60401,103.142,True
11,1.0,103.784,3.190135,2.599878,100.631,True
12,1.0,101.265,3.190135,2.59981,101.157,True
13,1.0,107.756,3.190135,2.604493,100.391,True
14,1.0,104.05,3.190135,2.596102,100.033,True
15,1.0,103.59,3.190135,2.607741,100.025,True
16,1.0,102.112,3.190135,2.604424,99.954,True
17,1.0,100.165,3.190238,2.608294,100.584,True
18,1.0,102.856,3.190238,2.604493,100.847,True
19,1.0,103.249,3.190135,2.604424,100.492,True
20,1.0,102.854,3.190135,2.604424,99.715,True
