family,artifact,mode,chunker,method,warm_bytes,aligned_changed_bytes,input_bytes,wire_bytes,saving_rate,effective_multiplier,chunks,full_frames,ref_frames,reconstruction_ok,comparable,wall_ms,throughput_mib_s_local,runner_peak_kib,cost_scope,dictionary_entries,method_parameters,notes
target-class,software-update-generated,single-object,none,raw,,,515534,515534,0.000000,1.000000,0,0,0,True,True,,,,,,,
target-class,software-update-generated,single-object,none,gzip-6,,,515534,46208,0.910369,11.156813,0,0,0,True,True,2.367,207.751,27824.0,compress_only,,,
target-class,software-update-generated,single-object,none,zstd-3,,,515534,43111,0.916376,11.958294,0,0,0,True,True,20.357,24.151,27888.0,compress_only,,,
target-class,software-update-generated,warm-update-like,fixed,fixed-block-reuse,478034,292158,515534,515554,0.000000,0.999961,1,1,0,True,True,89.859,5.471,28432.0,fixed_block_scan,58,block_size=8192; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
target-class,software-update-generated,cold-intra-artifact,fixed,redulink,,,515534,517046,0.000000,0.997076,63,63,0,True,True,0.656,749.183,29072.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
target-class,software-update-generated,warm-update-like,fixed,redulink,478034,292158,515534,517046,0.000000,0.997076,63,63,0,True,True,1.006,488.618,29728.0,redulink_encode_decode,59,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
target-class,software-update-generated,cold-intra-artifact,cdc,redulink,,,515534,515918,0.000000,0.999256,16,16,0,True,True,64.442,7.629,30048.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
target-class,software-update-generated,warm-update-like,cdc,redulink,478034,292158,515534,515918,0.000000,0.999256,16,16,0,True,True,180.995,2.716,30720.0,redulink_encode_decode,15,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
target-class,software-update-generated,warm-update-like,cdc,gzip-then-redulink,43969,45933,46208,46352,0.000000,0.996893,6,6,0,True,True,16.289,2.705,30752.0,redulink_only_after_precompression,5,chunker=cdc; target_chunk_size=8192; compression=gzip-before-redulink,ReduLink applied after gzip compression
target-class,software-update-generated,warm-update-like,cdc,redulink-then-gzip,478034,292158,515534,46973,0.908885,10.975113,16,16,0,True,False,186.195,2.641,31776.0,redulink_encode_decode_plus_gzip_frame_stream,15,chunker=cdc; target_chunk_size=8192; compression=redulink-frame-stream-then-gzip,gzip applied to modeled ReduLink frame stream
target-class,software-update-generated,warm-update-like,cdc,zstd-then-redulink,43864,43624,43111,43255,0.000000,0.996671,6,6,0,True,True,15.808,2.601,31792.0,redulink_only_after_precompression,4,chunker=cdc; target_chunk_size=8192; compression=zstd-before-redulink,ReduLink applied after zstd compression
target-class,container-layer-generated,single-object,none,raw,,,624778,624778,0.000000,1.000000,0,0,0,True,True,,,,,,,
target-class,container-layer-generated,single-object,none,gzip-6,,,624778,162790,0.739443,3.837938,0,0,0,True,True,3.511,169.723,31792.0,compress_only,,,
target-class,container-layer-generated,single-object,none,zstd-3,,,624778,152887,0.755294,4.086534,0,0,0,True,True,19.025,31.318,31792.0,compress_only,,,
target-class,container-layer-generated,warm-update-like,fixed,fixed-block-reuse,493423,600951,624778,347274,0.444164,1.799092,58,24,34,True,True,59.761,9.970,31792.0,fixed_block_scan,60,block_size=8192; token_overhead=16; literal_run_overhead=20; hash=prefix+exact-block; rolling_alignment=byte-scan; compression=none,fixed-block reuse approximation against warm artifact; not wire-compatible rsync
target-class,container-layer-generated,cold-intra-artifact,fixed,redulink,,,624778,626626,0.000000,0.997051,77,77,0,True,True,0.770,773.727,31808.0,redulink_encode_decode,0,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
target-class,container-layer-generated,warm-update-like,fixed,redulink,493423,600951,624778,618442,0.010141,1.010245,77,76,1,True,True,1.117,533.444,31952.0,redulink_encode_decode,61,chunker=fixed; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
target-class,container-layer-generated,cold-intra-artifact,cdc,redulink,,,624778,625426,0.000000,0.998964,27,27,0,True,True,77.723,7.666,31984.0,redulink_encode_decode,0,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
target-class,container-layer-generated,warm-update-like,cdc,redulink,493423,600951,624778,625426,0.000000,0.998964,27,27,0,True,True,198.435,3.003,31984.0,redulink_encode_decode,16,chunker=cdc; target_chunk_size=8192; ref_overhead=32; full_overhead=24; compression=none,
